,City,Latitude,Longitude,Temperature (F),Maximum Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Time,Time Zone
0,dikson,73.5069,80.5464,32.0,32.0,84,0,5.03,RU,1624218521,25200
1,barstow,34.8986,-117.0228,104.47,106.79,8,0,26.53,US,1624218522,-25200
2,samoylovka,51.184,43.7081,65.62,65.62,67,51,8.61,RU,1624218523,14400
3,airai,-8.9266,125.4092,55.53,55.53,92,34,3.27,TL,1624218525,32400
4,celestun,20.8667,-90.4,91.08,91.08,59,92,6.44,MX,1624218527,-18000
5,haines junction,60.7522,-137.5108,60.75,60.75,44,100,6.91,CA,1624218528,-25200
6,busselton,-33.65,115.3333,49.05,49.05,77,99,20.78,AU,1624218430,28800
7,hatten,53.0167,8.35,63.39,70.14,90,98,11.03,DE,1624218529,7200
8,mocuba,-16.8392,36.9856,63.05,63.05,97,43,2.77,MZ,1624218530,7200
9,hermanus,-34.4187,19.2345,66.42,66.42,51,100,7.87,ZA,1624218531,7200
10,mataura,-46.1927,168.8643,36.03,36.03,98,36,2.64,NZ,1624218433,43200
11,wenceslau braz,-23.8739,-49.8028,63.46,63.46,58,6,4.52,BR,1624218311,-10800
12,boende,-0.2167,20.8667,74.75,74.75,75,50,2.04,CD,1624218536,3600
13,punta arenas,-53.15,-70.9167,39.31,39.31,81,0,13.8,CL,1624218507,-10800
14,vaini,-21.2,-175.2,66.36,66.36,94,40,0.0,TO,1624218537,46800
15,bage,-31.3314,-54.1069,53.38,53.82,100,90,5.75,BR,1624218470,-10800
16,puerto ayora,-0.7393,-90.3518,77.56,82.36,80,55,8.99,EC,1624218538,-21600
17,meulaboh,4.1363,96.1285,74.75,74.75,86,99,4.32,ID,1624218539,25200
18,buenaventura,3.8801,-77.0312,72.91,72.91,90,99,4.18,CO,1624218540,-18000
19,jasper,37.2001,-94.3502,90.61,93.27,50,1,5.01,US,1624218312,-18000
20,hithadhoo,-0.6,73.0833,83.19,83.19,73,100,11.1,MV,1624218542,18000
21,palembang,-2.9167,104.7458,74.25,74.25,92,86,2.13,ID,1624218543,25200
22,robinson,31.4677,-97.1147,92.5,94.59,54,40,7.0,US,1624218545,-18000
23,jamestown,42.097,-79.2353,78.1,84.29,73,75,13.8,US,1624218546,-14400
24,saint-joseph,-21.3667,55.6167,65.44,68.36,69,78,14.05,RE,1624218547,14400
25,bluff,-46.6,168.3333,43.05,43.05,84,8,6.38,NZ,1624218548,43200
26,manhumirim,-20.3578,-41.9581,66.13,66.13,79,3,4.52,BR,1624218549,-10800
27,norman wells,65.282,-126.8329,69.84,69.84,40,75,11.5,CA,1624218457,-21600
28,avarua,-21.2078,-159.775,73.45,73.45,64,20,5.75,CK,1624218551,-36000
29,kamenka,51.3223,42.7678,65.07,65.07,74,73,9.06,RU,1624218552,10800
30,tura,25.5198,90.2201,73.15,73.15,98,98,5.37,IN,1624218552,19800
31,klaksvik,62.2266,-6.589,47.32,47.32,77,53,4.47,FO,1624218554,3600
32,new norfolk,-42.7826,147.0587,38.03,41.67,88,16,2.77,AU,1624218555,36000
33,traralgon,-38.1833,146.5333,41.2,45.91,98,15,0.16,AU,1624218557,36000
34,mbanza-ngungu,-5.25,14.8667,70.47,70.47,51,9,2.04,CD,1624218558,3600
35,sept-iles,50.2001,-66.3821,62.49,64.92,85,75,3.0,CA,1624218559,-14400
36,kapaa,22.0752,-159.319,80.02,81.19,75,75,4.0,US,1624218560,-36000
